icon name,icon image url,icon style
Arrow Autofit Up,"data:image/svg+xml;utf81,<svg width=""24"" height=""24"" viewBox=""0 0 24 24"" fill=""none"" xmlns=""http://www.w3.org/2000/svg"">
<path d=""M13.2197 6.78115C12.9534 6.51488 12.9292 6.09822 13.1471 5.80461L13.2197 5.72049L15.5871 3.35039C15.7128 3.14201 15.9629 3 16.2509 3C16.503 3 16.726 3.10886 16.862 3.27578L16.9148 3.35073L19.282 5.72049L19.3546 5.80461C19.5482 6.0656 19.5506 6.42381 19.3618 6.6872L19.282 6.78115L19.1979 6.85377C18.9369 7.04742 18.5787 7.04981 18.3153 6.86094L18.2213 6.78115L17 5.56V20.3438L16.9931 20.4329C16.9434 20.7532 16.6296 21 16.2499 21C15.8702 21 15.5565 20.753 15.5068 20.4327L15.5 20.3437V5.56L14.2803 6.78115L14.1962 6.85377C13.9026 7.07162 13.4859 7.04742 13.2197 6.78115ZM6.25 3.99219C5.00736 3.99219 4 4.99955 4 6.24219V17.7422C4 18.9848 5.00736 19.9922 6.25 19.9922H12.25C12.6642 19.9922 13 19.6564 13 19.2422C13 18.828 12.6642 18.4922 12.25 18.4922H6.25C5.83579 18.4922 5.5 18.1564 5.5 17.7422V6.24219C5.5 5.82797 5.83579 5.49219 6.25 5.49219H10.25C10.6642 5.49219 11 5.1564 11 4.74219C11 4.32797 10.6642 3.99219 10.25 3.99219H6.25Z"" fill=""#212121""/>
</svg>
",Regular
Arrow Autofit Width Dotted,"data:image/svg+xml;utf81,<svg width=""24"" height=""24"" viewBox=""0 0 24 24"" fill=""none"" xmlns=""http://www.w3.org/2000/svg"">
<path d=""M20.0078 6.5C20.0078 5.11929 18.8885 4 17.5078 4H6.50781C5.1271 4 4.00781 5.11929 4.00781 6.5L4.00781 10.5C4.00781 11.0523 4.45553 11.5 5.00781 11.5C5.5601 11.5 6.00781 11.0523 6.00781 10.5L6.00781 6.5C6.00781 6.22386 6.23167 6 6.50781 6L17.5078 6C17.784 6 18.0078 6.22386 18.0078 6.5V10.5C18.0078 11.0523 18.4555 11.5 19.0078 11.5C19.5601 11.5 20.0078 11.0523 20.0078 10.5V6.5ZM18.2071 19.7071L20.7071 17.2071C21.0976 16.8166 21.0976 16.1834 20.7071 15.7929L18.2071 13.2929C17.8166 12.9024 17.1834 12.9024 16.7929 13.2929C16.4024 13.6834 16.4024 14.3166 16.7929 14.7071L18.5858 16.5L16.7929 18.2929C16.4024 18.6834 16.4024 19.3166 16.7929 19.7071C17.1834 20.0976 17.8166 20.0976 18.2071 19.7071ZM3.29289 15.7929C2.90237 16.1834 2.90237 16.8166 3.29289 17.2071L5.79289 19.7071C6.18342 20.0976 6.81658 20.0976 7.20711 19.7071C7.59763 19.3166 7.59763 18.6834 7.20711 18.2929L5.41421 16.5L7.20711 14.7071C7.59763 14.3166 7.59763 13.6834 7.20711 13.2929C6.81658 12.9024 6.18342 12.9024 5.79289 13.2929L3.29289 15.7929ZM13 16.5C13 15.9477 12.5523 15.5 12 15.5C11.4477 15.5 11 15.9477 11 16.5C11 17.0523 11.4477 17.5 12 17.5C12.5523 17.5 13 17.0523 13 16.5ZM9 15.5C9.55228 15.5 10 15.9477 10 16.5C10 17.0523 9.55228 17.5 9 17.5H8C7.44772 17.5 7 17.0523 7 16.5C7 15.9477 7.44772 15.5 8 15.5H9ZM17 16.5C17 15.9477 16.5523 15.5 16 15.5H15C14.4477 15.5 14 15.9477 14 16.5C14 17.0523 14.4477 17.5 15 17.5H16C16.5523 17.5 17 17.0523 17 16.5Z"" fill=""#212121""/>
</svg>
",Filled
Arrow Autofit Width Dotted,"data:image/svg+xml;utf81,<svg width=""24"" height=""24"" viewBox=""0 0 24 24"" fill=""none"" xmlns=""http://www.w3.org/2000/svg"">
<path d=""M17.7578 4C19.0005 4 20.0078 5.00736 20.0078 6.25V10.25C20.0078 10.6642 19.672 11 19.2578 11C18.8436 11 18.5078 10.6642 18.5078 10.25V6.25C18.5078 5.83579 18.172 5.5 17.7578 5.5L6.25781 5.5C5.8436 5.5 5.50781 5.83579 5.50781 6.25L5.50781 10.25C5.50781 10.6642 5.17203 11 4.75781 11C4.3436 11 4.00781 10.6642 4.00781 10.25L4.00781 6.25C4.00781 5.00736 5.01517 4 6.25781 4H17.7578ZM18.2803 19.2803L20.7803 16.7803C21.0732 16.4874 21.0732 16.0126 20.7803 15.7197L18.2803 13.2197C17.9874 12.9268 17.5126 12.9268 17.2197 13.2197C16.9268 13.5126 16.9268 13.9874 17.2197 14.2803L19.1893 16.25L17.2197 18.2197C16.9268 18.5126 16.9268 18.9874 17.2197 19.2803C17.5126 19.5732 17.9874 19.5732 18.2803 19.2803ZM3.21967 15.7197C2.92678 16.0126 2.92678 16.4874 3.21967 16.7803L5.71967 19.2803C6.01256 19.5732 6.48744 19.5732 6.78033 19.2803C7.07322 18.9874 7.07322 18.5126 6.78033 18.2197L4.81066 16.25L6.78033 14.2803C7.07322 13.9874 7.07322 13.5126 6.78033 13.2197C6.48744 12.9268 6.01256 12.9268 5.71967 13.2197L3.21967 15.7197ZM13 16.25C13 15.8358 12.6642 15.5 12.25 15.5H11.75C11.3358 15.5 11 15.8358 11 16.25C11 16.6642 11.3358 17 11.75 17H12.25C12.6642 17 13 16.6642 13 16.25ZM10 16.25C10 16.6642 9.66421 17 9.25 17H7.75C7.33579 17 7 16.6642 7 16.25C7 15.8358 7.33579 15.5 7.75 15.5H9.25C9.66421 15.5 10 15.8358 10 16.25ZM17 16.25C17 15.8358 16.6642 15.5 16.25 15.5H14.75C14.3358 15.5 14 15.8358 14 16.25C14 16.6642 14.3358 17 14.75 17H16.25C16.6642 17 17 16.6642 17 16.25Z"" fill=""#212121""/>
</svg>
",Regular
Arrow Autofit Width,"data:image/svg+xml;utf81,<svg width=""24"" height=""24"" viewBox=""0 0 24 24"" fill=""none"" xmlns=""http://www.w3.org/2000/svg"">
<path d=""M17.5 3.99219C18.8807 3.99219 20 5.11148 20 6.49219V10.4922C20 11.0445 19.5523 11.4922 19 11.4922C18.4477 11.4922 18 11.0445 18 10.4922V6.49219C18 6.21605 17.7761 5.99219 17.5 5.99219H6.5C6.22386 5.99219 6 6.21605 6 6.49219V10.4922C6 11.0445 5.55229 11.4922 5 11.4922C4.44771 11.4922 4 11.0445 4 10.4922V6.49219C4 5.11148 5.11929 3.99219 6.5 3.99219H17.5ZM18.1998 13.0364L18.1018 12.9518L18.0944 12.9463C17.7027 12.6557 17.1473 12.6877 16.7921 13.0429C16.4369 13.3981 16.4049 13.9535 16.6955 14.3452L16.701 14.3526L16.7856 14.4507L17.5859 15.25H14.3968L14.2885 15.2583L14.279 15.2598C13.8149 15.3317 13.5 15.7705 13.5 16.2499C13.5 16.7292 13.8147 17.1682 14.2788 17.2402L14.2883 17.2416L14.3966 17.25H17.5865L16.7849 18.0517L16.6919 18.1612L16.6859 18.1696C16.4338 18.5211 16.437 18.9984 16.6955 19.3468L16.701 19.3542L16.7923 19.46L16.9088 19.5589L16.9171 19.5649C17.2687 19.817 17.746 19.8138 18.0944 19.5553L18.1018 19.5498L18.1998 19.4653L20.5608 17.1068L20.6253 17.0614L20.6321 17.0558C20.8606 16.8697 21 16.5739 21 16.2509C21 15.8949 20.8301 15.5696 20.5566 15.3905L18.1998 13.0364ZM7.27365 14.3555L7.18896 14.4536L6.38868 15.2529H9.56824C10.099 15.2528 10.4746 15.7329 10.4746 16.2528C10.4746 16.7321 10.1599 17.171 9.69583 17.2431L9.6863 17.2445L9.57806 17.2529H6.38811L7.18254 18.0474C7.5377 18.4026 7.56975 18.958 7.27915 19.3497L7.27365 19.3571L7.18901 19.4552L7.18254 19.4616C6.82736 19.8168 6.27192 19.8488 5.88025 19.5582L5.87284 19.5527L5.77485 19.4681L3.41844 17.1143C3.14473 16.9353 2.97461 16.6099 2.97461 16.2538C2.97461 15.8978 3.14451 15.5725 3.41804 15.3934L5.76832 13.0458C6.15886 12.6553 6.79205 12.6553 7.18254 13.0458C7.53772 13.401 7.56976 13.9564 7.27915 14.3481L7.27365 14.3555Z"" fill=""#212121""/>
</svg>
",Filled
Arrow Autofit Width,"data:image/svg+xml;utf81,<svg width=""24"" height=""24"" viewBox=""0 0 24 24"" fill=""none"" xmlns=""http://www.w3.org/2000/svg"">
<path d=""M20 6.24219C20 4.99955 18.9926 3.99219 17.75 3.99219H6.25C5.00736 3.99219 4 4.99955 4 6.24219V10.2422C4 10.6564 4.33579 10.9922 4.75 10.9922C5.16421 10.9922 5.5 10.6564 5.5 10.2422V6.24219C5.5 5.82797 5.83579 5.49219 6.25 5.49219H17.75C18.1642 5.49219 18.5 5.82797 18.5 6.24219V10.2422C18.5 10.6564 18.8358 10.9922 19.25 10.9922C19.6642 10.9922 20 10.6564 20 10.2422V6.24219ZM17.2188 13.2197C17.4851 12.9534 17.9018 12.9292 18.1954 13.1471L18.2795 13.2197L20.6496 15.5871C20.858 15.7128 21 15.9629 21 16.2509C21 16.503 20.8911 16.726 20.7242 16.862L20.6493 16.9148L18.2795 19.282L18.1954 19.3546C17.9344 19.5482 17.5762 19.5506 17.3128 19.3618L17.2188 19.282L17.1462 19.1979C16.9526 18.9369 16.9502 18.5787 17.1391 18.3153L17.2188 18.2213L18.44 17H14.6562L14.5671 16.9931C14.2468 16.9434 14 16.6296 14 16.2499C14 15.8702 14.247 15.5565 14.5673 15.5068L14.6563 15.5H18.44L17.2188 14.2803L17.1462 14.1962C16.9284 13.9026 16.9526 13.4859 17.2188 13.2197ZM6.78115 13.2226C7.04742 13.4889 7.07162 13.9055 6.85377 14.1991L6.78115 14.2832L5.56 15.5029H9.34367C9.7061 15.5029 10 15.8386 10 16.2528C10 16.6325 9.75319 16.9464 9.43288 16.9961L9.34383 17.0029H5.56L6.78115 18.2242C7.04742 18.4905 7.07162 18.9072 6.85377 19.2008L6.78115 19.2849C6.51488 19.5512 6.09822 19.5754 5.80461 19.3575L5.72049 19.2849L3.35072 16.9177C3.14219 16.7921 3 16.5419 3 16.2538C3 15.9658 3.14201 15.7157 3.35039 15.59L5.72049 13.2226C6.01338 12.9297 6.48826 12.9297 6.78115 13.2226Z"" fill=""#212121""/>
</svg>
",Regular
Arrow Between Down,"data:image/svg+xml;utf81,<svg width=""24"" height=""24"" viewBox=""0 0 24 24"" fill=""none"" xmlns=""http://www.w3.org/2000/svg"">
<path d=""M6.5 2.25C6.5 1.69772 6.05228 1.25 5.5 1.25C4.94772 1.25 4.5 1.69772 4.5 2.25V2.5C4.5 3.88071 5.61929 5 7 5H17C18.3807 5 19.5 3.88071 19.5 2.5V2.25C19.5 1.69772 19.0523 1.25 18.5 1.25C17.9477 1.25 17.5 1.69772 17.5 2.25V2.5C17.5 2.77614 17.2761 3 17 3H7C6.72386 3 6.5 2.77614 6.5 2.5V2.25ZM12 6.25C12.5523 6.25 13 6.69772 13 7.25V14.3358L15.7929 11.5429C16.1834 11.1524 16.8166 11.1524 17.2071 11.5429C17.5976 11.9334 17.5976 12.5666 17.2071 12.9571L12.7071 17.4571C12.3166 17.8476 11.6834 17.8476 11.2929 17.4571L6.79289 12.9571C6.40237 12.5666 6.40237 11.9334 6.79289 11.5429C7.18342 11.1524 7.81658 11.1524 8.20711 11.5429L11 14.3358V7.25C11 6.69772 11.4477 6.25 12 6.25ZM4.5 21.5C4.5 20.1193 5.61929 19 7 19H17C18.3807 19 19.5 20.1193 19.5 21.5V21.75C19.5 22.3023 19.0523 22.75 18.5 22.75C17.9477 22.75 17.5 22.3023 17.5 21.75V21.5C17.5 21.2239 17.2761 21 17 21H7C6.72386 21 6.5 21.2239 6.5 21.5V21.75C6.5 22.3023 6.05228 22.75 5.5 22.75C4.94772 22.75 4.5 22.3023 4.5 21.75V21.5Z"" fill=""#212121""/>
</svg>
",Filled
Arrow Between Down,"data:image/svg+xml;utf81,<svg width=""24"" height=""24"" viewBox=""0 0 24 24"" fill=""none"" xmlns=""http://www.w3.org/2000/svg"">
<path d=""M6 1.75C6 1.33579 5.66421 1 5.25 1C4.83579 1 4.5 1.33579 4.5 1.75V2.25C4.5 3.49264 5.50736 4.5 6.75 4.5H16.75C17.9926 4.5 19 3.49264 19 2.25V1.75C19 1.33579 18.6642 1 18.25 1C17.8358 1 17.5 1.33579 17.5 1.75V2.25C17.5 2.66421 17.1642 3 16.75 3H6.75C6.33579 3 6 2.66421 6 2.25V1.75ZM11.75 6C12.1642 6 12.5 6.33579 12.5 6.75V15.4393L16.2197 11.7197C16.5126 11.4268 16.9874 11.4268 17.2803 11.7197C17.5732 12.0126 17.5732 12.4874 17.2803 12.7803L12.2803 17.7803C11.9874 18.0732 11.5126 18.0732 11.2197 17.7803L6.21967 12.7803C5.92678 12.4874 5.92678 12.0126 6.21967 11.7197C6.51256 11.4268 6.98744 11.4268 7.28033 11.7197L11 15.4393V6.75C11 6.33579 11.3358 6 11.75 6ZM4.5 21.75C4.5 20.5074 5.50736 19.5 6.75 19.5H16.75C17.9926 19.5 19 20.5074 19 21.75V22.25C19 22.6642 18.6642 23 18.25 23C17.8358 23 17.5 22.6642 17.5 22.25V21.75C17.5 21.3358 17.1642 21 16.75 21H6.75C6.33579 21 6 21.3358 6 21.75V22.25C6 22.6642 5.66421 23 5.25 23C4.83579 23 4.5 22.6642 4.5 22.25V21.75Z"" fill=""#212121""/>
</svg>
",Regular
Arrow Bidirectional Left Right,"data:image/svg+xml;utf81,<svg width=""24"" height=""24"" viewBox=""0 0 24 24"" fill=""none"" xmlns=""http://www.w3.org/2000/svg"">
<path d=""M9.45711 6.54289C9.84763 6.93342 9.84763 7.56658 9.45711 7.95711L6.41421 11H17.5858L14.5429 7.95711C14.1524 7.56658 14.1524 6.93342 14.5429 6.54289C14.9334 6.15237 15.5666 6.15237 15.9571 6.54289L20.7071 11.2929C21.0976 11.6834 21.0976 12.3166 20.7071 12.7071L15.9571 17.4571C15.5666 17.8476 14.9334 17.8476 14.5429 17.4571C14.1524 17.0666 14.1524 16.4334 14.5429 16.0429L17.5858 13H6.41421L9.45711 16.0429C9.84763 16.4334 9.84763 17.0666 9.45711 17.4571C9.06658 17.8476 8.43342 17.8476 8.04289 17.4571L3.29289 12.7071C2.90237 12.3166 2.90237 11.6834 3.29289 11.2929L8.04289 6.54289C8.43342 6.15237 9.06658 6.15237 9.45711 6.54289Z"" fill=""#212121""/>
</svg>
",Filled
Arrow Bidirectional Left Right,"data:image/svg+xml;utf81,<svg width=""24"" height=""24"" viewBox=""0 0 24 24"" fill=""none"" xmlns=""http://www.w3.org/2000/svg"">
<path d=""M9.03033 6.46967C9.32322 6.76256 9.32322 7.23744 9.03033 7.53033L5.56066 11H18.4393L14.9697 7.53033C14.6768 7.23744 14.6768 6.76256 14.9697 6.46967C15.2626 6.17678 15.7374 6.17678 16.0303 6.46967L20.7803 11.2197C21.0732 11.5126 21.0732 11.9874 20.7803 12.2803L16.0303 17.0303C15.7374 17.3232 15.2626 17.3232 14.9697 17.0303C14.6768 16.7374 14.6768 16.2626 14.9697 15.9697L18.4393 12.5H5.56066L9.03033 15.9697C9.32322 16.2626 9.32322 16.7374 9.03033 17.0303C8.73744 17.3232 8.26256 17.3232 7.96967 17.0303L3.21967 12.2803C2.92678 11.9874 2.92678 11.5126 3.21967 11.2197L7.96967 6.46967C8.26256 6.17678 8.73744 6.17678 9.03033 6.46967Z"" fill=""#212121""/>
</svg>
",Regular
Arrow Bidirectional Up Down,"data:image/svg+xml;utf81,<svg width=""24"" height=""24"" viewBox=""0 0 24 24"" fill=""none"" xmlns=""http://www.w3.org/2000/svg"">
<path d=""M7.975 9.68875C7.59462 10.0892 6.96166 10.1054 6.56125 9.725C6.16085 9.34461 6.14462 8.71166 6.525 8.31125L11.275 3.31125C11.4638 3.11252 11.7259 3 12 3C12.2741 3 12.5362 3.11252 12.725 3.31125L17.475 8.31125C17.8554 8.71166 17.8392 9.34461 17.4388 9.725C17.0383 10.1054 16.4054 10.0892 16.025 9.68875L13 6.50454V17.4955L16.025 14.3113C16.4054 13.9108 17.0383 13.8946 17.4388 14.275C17.8392 14.6554 17.8554 15.2883 17.475 15.6887L12.725 20.6887C12.5362 20.8875 12.2741 21 12 21C11.7259 21 11.4638 20.8875 11.275 20.6887L6.525 15.6887C6.14462 15.2883 6.16085 14.6554 6.56125 14.275C6.96166 13.8946 7.59462 13.9108 7.975 14.3113L11 17.4955V6.50454L7.975 9.68875Z"" fill=""#212121""/>
</svg>
",Filled
Arrow Bidirectional Up Down,"data:image/svg+xml;utf81,<svg width=""24"" height=""24"" viewBox=""0 0 24 24"" fill=""none"" xmlns=""http://www.w3.org/2000/svg"">
<path d=""M11.25 5.6284V18.3716L7.79375 14.7334C7.50846 14.4331 7.03374 14.421 6.73344 14.7063C6.43313 14.9915 6.42096 15.4663 6.70625 15.7666L11.4563 20.7666C11.5978 20.9156 11.7944 21 12 21C12.2056 21 12.4022 20.9156 12.5438 20.7666L17.2938 15.7666C17.579 15.4663 17.5669 14.9915 17.2666 14.7063C16.9663 14.421 16.4915 14.4331 16.2063 14.7334L12.75 18.3716V5.6284L16.2063 9.26656C16.4915 9.56687 16.9663 9.57904 17.2666 9.29375C17.5669 9.00846 17.579 8.53374 17.2938 8.23344L12.5449 3.23461C12.4082 3.09013 12.2146 3 12 3C11.7854 3 11.5918 3.09013 11.4551 3.23461L6.70625 8.23344C6.42096 8.53374 6.43313 9.00846 6.73344 9.29375C7.03374 9.57904 7.50846 9.56687 7.79375 9.26656L11.25 5.6284Z"" fill=""#212121""/>
</svg>
",Regular
Arrow Bounce,"data:image/svg+xml;utf81,<svg width=""24"" height=""24"" viewBox=""0 0 24 24"" fill=""none"" xmlns=""http://www.w3.org/2000/svg"">
<path d=""M11 7C11 6.44772 10.5523 6 10 6H3C2.44772 6 2 6.44772 2 7V14C2 14.5523 2.44772 15 3 15C3.55228 15 4 14.5523 4 14V9.41418L12.0431 17.4571C12.2306 17.6446 12.485 17.75 12.7502 17.75C13.0154 17.75 13.2698 17.6446 13.4573 17.4571L21.7071 9.2071C22.0976 8.81657 22.0976 8.18341 21.7071 7.79289C21.3166 7.40237 20.6834 7.40237 20.2929 7.7929L12.7502 15.3358L5.41425 8H10C10.5523 8 11 7.55228 11 7Z"" fill=""#212121""/>
</svg>
",Filled
Arrow Bounce,"data:image/svg+xml;utf81,<svg width=""24"" height=""24"" viewBox=""0 0 24 24"" fill=""none"" xmlns=""http://www.w3.org/2000/svg"">
<path d=""M11.0025 6.75C11.0025 6.33579 10.6667 6 10.2525 6H2.75195C2.33774 6 2.00195 6.33579 2.00195 6.75V14.25C2.00195 14.6642 2.33774 15 2.75195 15C3.16617 15 3.50195 14.6642 3.50195 14.25V8.56088L12.2198 17.2803C12.3605 17.421 12.5513 17.5 12.7502 17.5C12.9491 17.5 13.1399 17.421 13.2806 17.2803L21.7804 8.78032C22.0733 8.48743 22.0733 8.01255 21.7804 7.71966C21.4875 7.42677 21.0126 7.42678 20.7197 7.71968L12.7503 15.6893L4.56239 7.5H10.2525C10.6667 7.5 11.0025 7.16421 11.0025 6.75Z"" fill=""#212121""/>
</svg>
",Regular
Arrow Circle Down Double,"data:image/svg+xml;utf81,<svg width=""24"" height=""24"" viewBox=""0 0 24 24"" fill=""none"" xmlns=""http://www.w3.org/2000/svg"">
<path d=""M11.2496 13.7499C11.5158 14.0161 11.5401 14.4328 11.3222 14.7264L11.2496 14.8105L9.27872 16.7814C9.01242 17.0477 8.59569 17.0718 8.30208 16.8539L8.21796 16.7813L6.24873 14.8105C5.9559 14.5176 5.95599 14.0427 6.24894 13.7499C6.51525 13.4836 6.93192 13.4595 7.22549 13.6774L7.3096 13.7501L7.99951 14.4412L7.99922 7.74951C7.99922 7.36982 8.28137 7.05602 8.64745 7.00636L8.74922 6.99951C9.12891 6.99951 9.44271 7.28167 9.49237 7.64774L9.49922 7.74951L9.49951 14.4392L10.1889 13.7499C10.4552 13.4836 10.8719 13.4594 11.1655 13.6772L11.2496 13.7499ZM1.99902 12C1.99902 17.5228 6.47617 22 11.999 22C17.5219 22 21.999 17.5228 21.999 12C21.999 6.47715 17.5219 2 11.999 2C6.47618 2 1.99902 6.47715 1.99902 12ZM17.6654 13.6772L17.7495 13.7499C18.0158 14.0161 18.04 14.4328 17.8221 14.7264L17.7495 14.8105L15.7787 16.7813C15.5124 17.0476 15.0957 17.0718 14.8021 16.8538L14.718 16.7812L12.7488 14.8105C12.456 14.5176 12.456 14.0427 12.749 13.7499C13.0153 13.4836 13.432 13.4595 13.7256 13.6774L13.8097 13.7501L14.4995 14.4412L14.4992 7.74945C14.4992 7.36975 14.7814 7.05596 15.1474 7.0063L15.2492 6.99945C15.6289 6.99945 15.9427 7.28161 15.9924 7.64768L15.9992 7.74945L15.9995 14.4392L16.6889 13.7499C16.9551 13.4836 17.3718 13.4594 17.6654 13.6772Z"" fill=""#212121""/>
</svg>
",Filled
Arrow Circle Down Double,"data:image/svg+xml;utf81,<svg width=""24"" height=""24"" viewBox=""0 0 24 24"" fill=""none"" xmlns=""http://www.w3.org/2000/svg"">
<path d=""M11.2496 13.7499L11.1655 13.6772C10.8719 13.4594 10.4552 13.4836 10.1889 13.7499L9.49951 14.4392L9.49922 7.74951L9.49237 7.64774C9.44271 7.28167 9.12891 6.99951 8.74922 6.99951L8.64745 7.00636C8.28137 7.05602 7.99922 7.36982 7.99922 7.74951L7.99951 14.4412L7.3096 13.7501L7.22549 13.6774C6.93192 13.4595 6.51525 13.4836 6.24894 13.7499C5.95599 14.0427 5.9559 14.5176 6.24873 14.8105L8.21796 16.7813L8.30208 16.8539C8.59569 17.0718 9.01242 17.0477 9.27872 16.7814L11.2496 14.8105L11.3222 14.7264C11.5401 14.4328 11.5158 14.0161 11.2496 13.7499ZM1.99902 12C1.99902 17.5228 6.47617 22 11.999 22C17.5219 22 21.999 17.5228 21.999 12C21.999 6.47715 17.5219 2 11.999 2C6.47618 2 1.99902 6.47715 1.99902 12ZM20.499 12C20.499 16.6944 16.6934 20.5 11.999 20.5C7.3046 20.5 3.49902 16.6944 3.49902 12C3.49902 7.30558 7.3046 3.5 11.999 3.5C16.6934 3.5 20.499 7.30558 20.499 12ZM17.7495 13.7499L17.6654 13.6772C17.3718 13.4594 16.9551 13.4836 16.6889 13.7499L15.9995 14.4392L15.9992 7.74945L15.9924 7.64768C15.9427 7.28161 15.6289 6.99945 15.2492 6.99945L15.1474 7.0063C14.7814 7.05596 14.4992 7.36975 14.4992 7.74945L14.4995 14.4412L13.8097 13.7501L13.7256 13.6774C13.432 13.4595 13.0153 13.4836 12.749 13.7499C12.456 14.0427 12.456 14.5176 12.7488 14.8105L14.718 16.7812L14.8021 16.8538C15.0957 17.0718 15.5124 17.0476 15.7787 16.7813L17.7495 14.8105L17.8221 14.7264C18.04 14.4328 18.0158 14.0161 17.7495 13.7499Z"" fill=""#212121""/>
</svg>
",Regular
Arrow Circle Down,"data:image/svg+xml;utf81,<svg width=""24"" height=""24"" viewBox=""0 0 24 24"" fill=""none"" xmlns=""http://www.w3.org/2000/svg"">
<path d=""M1.99902 12C1.99902 17.5228 6.47617 22 11.999 22C17.5219 22 21.999 17.5228 21.999 12C21.999 6.47715 17.5219 2 11.999 2C6.47618 2 1.99902 6.47715 1.99902 12ZM16.5297 11.7199C16.796 11.9862 16.8202 12.4028 16.6023 12.6964L16.5297 12.7805L12.5289 16.7814C12.2626 17.0477 11.8459 17.0718 11.5523 16.8539L11.4681 16.7813L7.46814 12.7797C7.1753 12.4868 7.17539 12.0119 7.46834 11.7191C7.73466 11.4529 8.15132 11.4287 8.44489 11.6466L8.529 11.7193L11.2497 14.4412L11.2494 7.74951C11.2494 7.36982 11.5315 7.05602 11.8976 7.00636L11.9994 6.99951C12.3791 6.99951 12.6929 7.28167 12.7425 7.64774L12.7494 7.74951L12.7497 14.4392L15.4691 11.7199C15.7353 11.4536 16.152 11.4294 16.4456 11.6473L16.5297 11.7199Z"" fill=""#212121""/>
</svg>
",Filled
Arrow Circle Down,"data:image/svg+xml;utf81,<svg width=""24"" height=""24"" viewBox=""0 0 24 24"" fill=""none"" xmlns=""http://www.w3.org/2000/svg"">
<path d=""M16.5297 11.7199L16.4456 11.6473C16.152 11.4294 15.7353 11.4536 15.4691 11.7199L12.7497 14.4392L12.7494 7.74951L12.7425 7.64774C12.6929 7.28167 12.3791 6.99951 11.9994 6.99951L11.8976 7.00636C11.5315 7.05602 11.2494 7.36982 11.2494 7.74951L11.2497 14.4412L8.529 11.7193L8.44489 11.6466C8.15132 11.4287 7.73466 11.4529 7.46834 11.7191C7.17539 12.0119 7.1753 12.4868 7.46814 12.7797L11.4681 16.7813L11.5523 16.8539C11.8459 17.0718 12.2626 17.0477 12.5289 16.7814L16.5297 12.7805L16.6023 12.6964C16.8202 12.4028 16.796 11.9862 16.5297 11.7199ZM1.99902 12C1.99902 17.5228 6.47617 22 11.999 22C17.5219 22 21.999 17.5228 21.999 12C21.999 6.47715 17.5219 2 11.999 2C6.47618 2 1.99902 6.47715 1.99902 12ZM20.499 12C20.499 16.6944 16.6934 20.5 11.999 20.5C7.3046 20.5 3.49902 16.6944 3.49902 12C3.49902 7.30558 7.3046 3.5 11.999 3.5C16.6934 3.5 20.499 7.30558 20.499 12Z"" fill=""#212121""/>
</svg>
",Regular
Arrow Circle Down Right,"data:image/svg+xml;utf81,<svg width=""24"" height=""24"" viewBox=""0 0 24 24"" fill=""none"" xmlns=""http://www.w3.org/2000/svg"">
<path d=""M12 22C17.5228 22 22 17.5228 22 12C22 6.47715 17.5228 2 12 2C6.47715 2 2 6.47715 2 12C2 17.5228 6.47715 22 12 22ZM14.5 8.75001C14.5 8.33579 14.8358 8.00001 15.25 8.00001C15.6642 8.00001 16 8.33579 16 8.75001V15.25C16 15.6642 15.6642 16 15.25 16H8.75C8.33579 16 8 15.6642 8 15.25C8 14.8358 8.33579 14.5 8.75 14.5H13.4904L8.22226 9.28291C7.92794 8.99144 7.92563 8.51657 8.21709 8.22226C8.50856 7.92794 8.98343 7.92563 9.27774 8.21709L14.5 13.3888V8.75001Z"" fill=""#212121""/>
</svg>
",Filled
Arrow Circle Down Right,"data:image/svg+xml;utf81,<svg width=""24"" height=""24"" viewBox=""0 0 24 24"" fill=""none"" xmlns=""http://www.w3.org/2000/svg"">
<path d=""M13.4905 14.5H8.75C8.33579 14.5 8 14.8358 8 15.25C8 15.6642 8.33579 16 8.75 16H15.25C15.6642 16 16 15.6642 16 15.25V8.75C16 8.33579 15.6642 8 15.25 8C14.8358 8 14.5 8.33579 14.5 8.75V13.3886L9.2778 8.21703C8.98349 7.92556 8.50862 7.92787 8.21715 8.22219C7.92569 8.51651 7.928 8.99137 8.22232 9.28284L13.4905 14.5ZM2 12C2 6.47715 6.47715 2 12 2C17.5228 2 22 6.47715 22 12C22 17.5228 17.5228 22 12 22C6.47715 22 2 17.5228 2 12ZM12 3.5C7.30558 3.5 3.5 7.30558 3.5 12C3.5 16.6944 7.30558 20.5 12 20.5C16.6944 20.5 20.5 16.6944 20.5 12C20.5 7.30558 16.6944 3.5 12 3.5Z"" fill=""#212121""/>
</svg>
",Regular
